Division,School,Ensemble Visual,Field Music,Ensemble Music,Overall Effect - Visual,Overall Effect - Music,Total,Percussion,High Music,High Overall Effect
Liberty A,Muncy,13.4,14.1,15,13.4,13.4,69.3,131.5,29.1,26.8
Yankee A,Berwick Area,16.15,16.65,15.95,16.15,15.8,80.7,146.5,32.6,31.95
American A,Shikellamy,16.7,16.15,17.15,16.7,15.8,82.5,156,33.3,32.5
American A,Southern Tioga,16.5,14.5,16.15,16.5,16.65,80.3,166,30.65,33.15
American A,Jersey Shore,15.7,15.8,15.9,15.7,15.3,78.4,162,31.7,31
Exhibition,Loyalsock Township,16.9,16.85,16.7,16.9,16.6,83.95,158,33.55,33.5
Independence A,Penn Wood,15.6,16.6,15.95,14.9,15.05,78.1,159,32.55,29.95
Independence A,Pittston Area,16.25,15.8,15.6,15.35,14.8,77.8,163.5,31.4,30.15
Freedom - Liberty,Mount Pleasant,15.9,16.5,14.5,14.2,14.3,75.4,166,31,28.5
Liberty A,Conestoga Valley,17.3,16.4,16.95,16.55,16.75,83.95,171.5,33.35,33.3
Liberty A,Haverford,16,15.7,15.05,15.15,14.4,76.3,156.5,30.75,29.55
Yankee A,Kennett,16.35,16.25,17.35,17.15,15.65,82.75,166,33.6,32.8
American A,West Chester East,16.6,16.7,16.35,16.35,16.15,82.15,162.5,33.05,32.5
American A,Concord,16.8,16.3,15.8,15.95,15.75,80.6,166.5,32.1,31.7
American A,William Tennent,15.8,15.7,15.35,15.65,16.1,78.6,169,31.05,31.75
American A,James Buchanan,15.5,15.2,14.8,15.3,14.95,75.75,165.5,30,30.25
Exhibition,Conestoga,16.9,16.8,16.3,16.2,16.2,82.4,177,33.1,32.4
